,1,2,3,4,5,6
28,Low-key Poetry Writing & Drinks Meetup (All NY Poets are Welcome)!,"Group name:
Poets of Queens NEW • Astoria, NY","WED, MAY 18 · 1:00 AM UTC+2",10 attendees,No place left,https://www.meetup.com/poets-of-queens-new/events/284865544
29,Lower East Side Socialist Monthly Meeting,"Group name:
Manhattan Socialists • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",7 attendees,No place left,https://www.meetup.com/manhattan-socialists/events/285384295
30,"Deficits, Debt, and Drinks","Group name:
NYC Deficit Owls (MMT) • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",7 attendees,No place left,https://www.meetup.com/Modern-Monetary-Theory-in-New-York-City/events/285322240
31,The All Star Comedy Show- A stand Up comedy show tor City Harvest!,"Group name:
New York City All Star Stand Up Comedy Show Meetup Group • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",2 attendees,No place left,https://www.meetup.com/new-york-city-all-star-stand-up-comedy-show-meetup-group/events/285550909
32,Tuesday night climb at Cliffs Gowanus(+ drinks @ Wild East),"Group name:
Rock Climb + Chill in Brooklyn • Brooklyn, NY","WED, MAY 18 · 1:00 AM UTC+2",20 attendees,No place left,https://www.meetup.com/Casual-Rock-Climbing/events/285731649
33,Online Real Estate Investing,"Group name:
Queens Investing Meetup Group • Whitestone, NY","WED, MAY 18 · 1:00 AM UTC+2",24 attendees,No place left,https://www.meetup.com/Queens-Investing-Meetup-Group/events/285553741
34,What You Need to Know about OCD and the Nice Guy Syndrome,"Group name:
Integrated Men - New York • Brooklyn, NY","WED, MAY 18 · 2:00 AM UTC+2",15 attendees,No place left,https://www.meetup.com/integrated-men-new-york/events/285287434
35,Learn English in New York Manhattan !,"Group name:
Learn English in New York Manhattan • New York, NY","WED, MAY 18 · 3:00 PM UTC+2",25 attendees,No place left,https://www.meetup.com/manhattan-english-as-a-second-language-meetup-group/events/285406403
36,The ML Data Engineering Conference,"Group name:
NYC AI/ML/Data Developers Group • New York, NY","WED, MAY 18 · 5:00 PM UTC+2",633 attendees,No place left,https://www.meetup.com/aittg-nyc/events/284937857
37,Young Professional's Networking Gathering,"Group name:
Young Professional's New to NYC • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",111 attendees,No place left,https://www.meetup.com/young-professionals-new-to-nyc/events/285529628
38,Working with Large Datasets as a Data Scientist (with Python),"Group name:
New York R User Group • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",19 attendees,No place left,https://www.meetup.com/New-York-R-Users-Group/events/285591596
39,May Intermediate-Advanced Amazons Sellers Meetup - WE ARE BACK!!,"Group name:
New York Amazon Seller Meetup • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",62 attendees,No place left,https://www.meetup.com/New-York-Amazon-Seller-Meetup/events/285392466
40,Building and Using Virtual Reality in Education,"Group name:
VR in Education • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",62 attendees,No place left,https://www.meetup.com/vr-education/events/284878756
41,SEO for Beginners,"Group name:
New York SEO Meetup Group • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",43 attendees,No place left,https://www.meetup.com/new-york-seo/events/285093297
42,"May 18, 2022 NYC Quantum Computing IN-PERSON Meetup","Group name:
New York Quantum Computing Meetup • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",32 attendees,No place left,https://www.meetup.com/New-York-Quantum-Computing-Meetup/events/285840307
43,New Jersey Real Estate Investing Happy Hour,"Group name:
New Jersey Real Estate Investing Happy Hour • Little Ferry, NJ","THU, MAY 19 · 12:00 AM UTC+2",37 attendees,No place left,https://www.meetup.com/new-jersey-real-estate-investing-happy-hour/events/285371000
44,"NFT, Web3 and Crypto Happy Hour (Sub Topic - Project Pitches)","Group name:
New York NFT, Crypto, Web3 and Startup Meetup Group • New York, NY","THU, MAY 19 · 12:45 AM UTC+2",13 attendees,No place left,https://www.meetup.com/new-york-nft-web3-crypto-startup-meetup-group/events/285058610
45,Meet and Greet with JC Black Professionals,"Group name:
Jersey City Black Professionals • Jersey City, NJ","THU, MAY 19 · 1:00 AM UTC+2",29 attendees,No place left,https://www.meetup.com/jersey-city-black-professionals/events/285542744
46,Choose A Cuisine and Restaurant For Our First Night Out!,"Group name:
New York Food Club • New York, NY","THU, MAY 19 · 1:00 AM UTC+2",20 attendees,No place left,https://www.meetup.com/new-york-food-club/events/285819775
47,BROOKLYN Smutty Book Club - Lick by Kylie Scott,"Group name:
Brooklyn Smutty Book Club • Brooklyn, NY","THU, MAY 19 · 1:00 AM UTC+2",29 attendees,No place left,https://www.meetup.com/BROOKLYN-Smutty-Book-Club/events/285373438
48,Mens Indoor Pick-up Basketball in Long Island City,"Group name:
LICYSL - Men's Indoor Pickup Basketball in Hunters Point • Long Island City, NY","THU, MAY 19 · 1:00 AM UTC+2",11 attendees,No place left,https://www.meetup.com/LIC-Hoops-Mens-Indoor-Pickup-Basketball-in-Hunters-Point/events/285578911
49,DIR/Floortime based Autism Social Group Meetup,"Group name:
DIR/Floortime based Autism Social Group Meetup • New York, NY","THU, MAY 19 · 1:15 AM UTC+2",5 attendees,No place left,https://www.meetup.com/DIR-Floortime-based-Autism-Social-Group-Meetup/events/285888319
50,Free Chinese Class - 'Do you speak Chinese?',"Group name:
Free Chinese Classes • New York, NY","THU, MAY 19 · 1:30 AM UTC+2",12 attendees,No place left,https://www.meetup.com/free-chinese-classes/events/285773101
51,Learn Chinese: Do you speak Chinese?,"Group name:
Chinese Chat International • New York, NY","THU, MAY 19 · 1:30 AM UTC+2",5 attendees,No place left,https://www.meetup.com/chinese-chat/events/285853343
52,Monthly Dinner (Make new female friends),"Group name:
Mindful Gal Pals • Brooklyn, NY","THU, MAY 19 · 1:30 AM UTC+2",21 attendees,No place left,https://www.meetup.com/Mindful-Gal-Pals/events/285462049
53,A Post-Roe America? (a panelist discussion by legal experts),"Group name:
""The NYC Political Forum"" • New York, NY","THU, MAY 19 · 2:00 AM UTC+2",42 attendees,No place left,https://www.meetup.com/NYC-Politics/events/285803030
54,Keep The Pace Run Club Community Run,"Group name:
Keep The Pace Run Club • New York, NY","THU, MAY 19 · 1:15 PM UTC+2",7 attendees,No place left,https://www.meetup.com/keep-the-pace-run-club/events/285590146
55,Women in Data Science NYC @ Dataiku,"Group name:
Analytics & Data Science by Dataiku NY • New York, NY","THU, MAY 19 · 9:00 PM UTC+2",84 attendees,No place left,https://www.meetup.com/AnalyticsDataScienceDataikuNY/events/285277410
56,NYC Blockchain Networking Event - Monthly 3rd Thurs. - Blockchain Cryptocurrency,"Group name:
NYC Blockchain Network - Monthly 3rd Thursday Meetup • New York, NY","THU, MAY 19 · 11:00 PM UTC+2",176 attendees,No place left,https://www.meetup.com/nyc-blockchain-network-monthly-3rd-thursday-meetup/events/283992671
57,"Tech and Startup Networking Mixer (Tech, Drinks and Startups)","Group name:
Startup+ NYC • New York, NY","THU, MAY 19 · 11:00 PM UTC+2",64 attendees,No place left,https://www.meetup.com/startup-plus/events/285600469
58,Thursday evening Kadima Meetup (+ MOVIE),"Group name:
Adult UWS Kadima meet up • New York, NY","THU, MAY 19 · 11:30 PM UTC+2",19 attendees,No place left,https://www.meetup.com/New-York-City-UWS-Kadima-Meetup-Group/events/285846511
59,Robert Kosara: How to Show Ordinary Data in Extraordinary Ways,"Group name:
Data Visualization New York • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",171 attendees,No place left,https://www.meetup.com/DataVisualization/events/285428471
60,[VIRTUAL|SUG] How to Stop avoiding conflict and start building better teams,"Group name:
NYC Scrum User Group • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",47 attendees,No place left,https://www.meetup.com/NYC-Scrum-User-Group/events/283312744
61,Adult(ish) Game Night (Hybrid),"Group name:
Adult(ish) at the Valley Cottage Library • Valley Cottage, NY","FRI, MAY 20 · 12:00 AM UTC+2",27 attendees,3 spots left,https://www.meetup.com/7eb6a8ab-02ce-4f9c-a900-9b7935f4e052/events/284224672
62,BYOB: Custom Candle Making Experience,"Group name:
The Melanin Club- NYC • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",8 attendees,No place left,https://www.meetup.com/the-melanin-club-nyc/events/285606936
63,ScriptRunner – Let’s Unlock the Power of PowerShell across your organization,"Group name:
New York PowerShell Meetup • New York, NY","FRI, MAY 20 · 12:30 AM UTC+2",142 attendees,No place left,https://www.meetup.com/NycPowershellMeetup/events/285079314
